Designator,Mid X,Mid Y,Rotation,Layer
C1,123.95,-105.8,270.0,top
C10,119.9,-101.4,180.0,top
C11,121.53,-98.6,180.0,top
C12,116.57,-100.0,180.0,top
C13,117.68125,-88.16875,180.0,top
C14,116.20125,-89.26875,0.0,top
C15,136.1,-106.1,0.0,top
C16,138.7,-103.9,270.0,top
C17,107.9,-97.5,90.0,top
C18,113.06875,-92.97125,90.0,top
C19,114.01875,-92.95125,90.0,top
C2,128.7,-96.0,0.0,top
C20,143.7,-102.62,90.0,top
C21,141.1,-102.62,90.0,top
C3,124.25,-95.48,90.0,top
C4,121.6,-97.4,180.0,top
C5,132.92,-100.25,0.0,top
C6,128.7,-105.7,0.0,top
C7,121.62,-96.45,180.0,top
C8,122.95,-105.8,270.0,top
C9,132.92,-99.3,0.0,top
D1,113.5,-81.7,0.0,top
D2,115.56625,-84.25,180.0,top
D3,111.0,-84.4,90.0,top
D4,111.13125,-88.28125,90.0,top
D5,111.13125,-90.03125,270.0,top
IC2,142.55,-106.75,0.0,top
J1,158.605,-97.0,90.0,top
J2,140.2,-72.35,0.0,bottom
J3,103.0,-90.0,270.0,top
L1,120.30125,-92.26875,270.0,top
Q1,148.3625,-98.9,180.0,top
Q2,143.5375,-99.0,0.0,top
Q3,139.5875,-98.0,180.0,top
R1,112.80625,-88.83125,0.0,top
R10,144.75,-102.55,90.0,top
R11,137.1,-97.55,270.0,top
R12,140.0,-95.8,0.0,top
R13,108.8,-91.5,0.0,top
R14,109.09,-88.6,0.0,top
R15,127.25,-107.39,90.0,top
R16,126.3,-107.4,90.0,top
R17,133.25,-102.475,270.0,top
R2,112.80625,-89.83125,0.0,top
R3,116.25,-98.7,180.0,top
R4,144.0,-109.9,0.0,top
R5,109.39,-100.0,0.0,top
R6,136.0,-101.65,180.0,top
R7,116.01,-81.7,180.0,top
R8,115.44,-97.4,180.0,top
R9,146.49,-101.2,0.0,top
SW1,104.0,-97.639165,0.0,top
SW2,104.2,-82.0,0.0,top
U1,127.05,-100.7,180.0,top
U2,113.45,-103.4,270.0,top
U3,116.70125,-91.66875,180.0,top
Y2,136.1,-103.9,180.0,top
